"names","type"
"c12a","glamour"
"animation","glamour"
"animator","glamour"
"best","glamour"
"boy","glamour"
"bollywood","glamour"
"boom","glamour"
"box","glamour"
"office","glamour"
"cameraman","glamour"
"camerawork","glamour"
"1","glamour"
"canon","glamour"
"celluloid","glamour"
"cgi","glamour"
"cinema","glamour"
"cinemagoer","glamour"
"cinematic","glamour"
"cinematography","glamour"
"clapperboard","glamour"
"clip","glamour"
"closeup","glamour"
"computergenerated","glamour"
"imagery","glamour"
"continuity","glamour"
"counterprogramming","glamour"
"credit","glamour"
"double","glamour"
"feature","glamour"
"extra","glamour"
"fade","glamour"
"film","glamour"
"filmstar","glamour"
"filmgoer","glamour"
"filmgoing","glamour"
"filmic","glamour"
"filming","glamour"
"filmstrip","glamour"
"flick","glamour"
"footage","glamour"
"frame","glamour"
"franchise","glamour"
"freeze","glamour"
"frame","glamour"
"gaffer","glamour"
"hollywood","glamour"
"imax","glamour"
"in","glamour"
"idiom","glamour"
"kinetoscope","glamour"
"location","glamour"
"lot","glamour"
"magic","glamour"
"lantern","glamour"
"mockumentary","glamour"
"motion","glamour"
"picture","glamour"
"movie","glamour"
"moviegoer","glamour"
"moviegoing","glamour"
"outtake","glamour"
"pan","glamour"
"premiere","glamour"
"project","glamour"
"projection","glamour"
"projector","glamour"
"rambo","glamour"
"reel","glamour"
"release","glamour"
"remake","glamour"
"rerelease","glamour"
"retake","glamour"
"retcon","glamour"
"run","glamour"
"screen","glamour"
"screening","glamour"
"screenplay","glamour"
"sequence","glamour"
"shoot","glamour"
"shot","glamour"
"show","glamour"
"showing","glamour"
"slapstick","glamour"
"slide","glamour"
"projector","glamour"
"slow","glamour"
"motion","glamour"
"sound","glamour"
"effect","glamour"
"soundtrack","glamour"
"still","glamour"
"sting","glamour"
"storyboard","glamour"
"studio","glamour"
"stunt","glamour"
"subtitle","glamour"
"take","glamour"
"technicolor","glamour"
"big","glamour"
"screen","glamour"
"1","glamour"
"silver","glamour"
"screen","glamour"
"timelapse","glamour"
"title","glamour"
"track","glamour"
"viewing","glamour"
"zoetrope","glamour"
"act","glamour"
"act","glamour"
"5th","glamour"
"acting","glamour"
"amateur","glamour"
"dramatics","glamour"
"amateur","glamour"
"theater","glamour"
"appear","glamour"
"appearance","glamour"
"be","glamour"
"on","glamour"
"stage","glamour"
"idiom","glamour"
"camp","glamour"
"camp","glamour"
"up","glamour"
"costar","glamour"
"come","glamour"
"come","glamour"
"on","glamour"
"debut","glamour"
"dumb","glamour"
"show","glamour"
"enact","glamour"
"entrance","glamour"
"1","glamour"
"go","glamour"
"on","glamour"
"stage","glamour"
"idiom","glamour"
"greasepaint","glamour"
"ham","glamour"
"ham","glamour"
"up","glamour"
"hammy","glamour"
"improvisation","glamour"
"improvise","glamour"
"interpret","glamour"
"interpreter","glamour"
"live","glamour"
"live","glamour"
"action","glamour"
"method","glamour"
"acting","glamour"
"mime","glamour"
"offstage","glamour"
"overact","glamour"
"pantomime","glamour"
"performative","glamour"
"play","glamour"
"portrayal","glamour"
"prompt","glamour"
"reenact","glamour"
"reenactment","glamour"
"rep","glamour"
"repertory","glamour"
"rest","glamour"
"stage","glamour"
"stage","glamour"
"fright","glamour"
"stage","glamour"
"whisper","glamour"
"stagestruck","glamour"
"star","glamour"
"stardom","glamour"
"star","glamour"
"turn","glamour"
"stretch","glamour"
"tread","glamour"
"tread","glamour"
"boards","glamour"
"idiom","glamour"
"understudy","glamour"
"variety","glamour"
"walkthrough","glamour"
"srk","glamour"
"shahrukh","glamour"
"khan","glamour"
"hrithik","glamour"
"roshan","glamour"
"salman","glamour"
"khan","glamour"
"urvashi","glamour"
"rautela","glamour"
"bebo","glamour"
"karina","glamour"
"taimur","glamour"
"saif","glamour"
"ali","glamour"
"khan","glamour"
"sara","glamour"
"ali","glamour"
"khan","glamour"
"sara","glamour"
"kartik","glamour"
"aaryan","glamour"
"sartik","glamour"
"ananya","glamour"
"pandey","glamour"
"divorce","glamour"
"divorced","glamour"
"sexy","glamour"
"hot","glamour"
"oops","glamour"
"saree","glamour"
"upcoming","glamour"
"action","glamour"
"drama","glamour"
"scifi","glamour"
"romance","glamour"
"melody","glamour"
"song","glamour"
"songs","glamour"
"akshay","glamour"
"kumar","glamour"
"mouni","glamour"
"roy","glamour"
"kgf","glamour"
"bahubali","glamour"
"tiger","glamour"
"shroff","glamour"
"vidyut","glamour"
"vfx","glamour"
"soty","glamour"
"soty2","glamour"
"alia","glamour"
"bhatt","glamour"
"varun","glamour"
"dhawan","glamour"
"boney","glamour"
"kapoor","glamour"
"ranbir","glamour"
"kappor","glamour"
"ranbir","glamour"
"ranveer","glamour"
"singh","glamour"
"ranveer","glamour"
"deepkia","glamour"
"padukone","glamour"
"kalank","glamour"
"sonakshi","glamour"
"sinha","glamour"
"sonakshi","glamour"
"john","glamour"
"abraham","glamour"
"celebs","glamour"
"celebrity","glamour"
"fame","glamour"
"janhavi","glamour"
"kapoor","glamour"
"trending","glamour"
"date","glamour"
"affairs","glamour"
"love","glamour"
"couple","glamour"
"marraige","glamour"
"married","glamour"
