"","words","type"
"1","american","sport"
"2","football","sport"
"3","archery","sport"
"4","athletics","sport"
"5","badminton","sport"
"6","baseball","sport"
"7","basketball","sport"
"8","bowls","sport"
"9","boxing","sport"
"10","canoeing","sport"
"11","cricket","sport"
"12","curling","sport"
"13","cycling","sport"
"14","darts","sport"
"15","disability","sport"
"16","sport","sport"
"17","diving","sport"
"18","equestrian","sport"
"19","fencing","sport"
"20","football","sport"
"21","formula","sport"
"22","gaelic","sport"
"23","games","sport"
"24","golf","sport"
"25","gymnastics","sport"
"26","handball","sport"
"27","hockey","sport"
"28","horse","sport"
"29","racing","sport"
"30","ice","sport"
"31","hockey","sport"
"32","judo","sport"
"33","mixed","sport"
"34","martial","sport"
"35","arts","sport"
"36","modern","sport"
"37","pentathlon","sport"
"38","motorsport","sport"
"39","netball","sport"
"40","olympics","sport"
"41","rowing","sport"
"42","rugby","sport"
"43","league","sport"
"44","rugby","sport"
"45","sailing","sport"
"46","shooting","sport"
"47","snooker","sport"
"48","squash","sport"
"49","swimming","sport"
"50","table","sport"
"51","tennis","sport"
"52","taekwondo","sport"
"53","tennis","sport"
"54","triathlon","sport"
"55","volleyball","sport"
"56","weightlifting","sport"
"57","winter","sport"
"58","sports","sport"
"59","wrestling","sport"
"60","agarwal	ahmed	bumrah","sport"
"61","chahal	s","sport"
"62","dhawan	ms","sport"
"63","dhoni","sport"
"64","jadeja	km","sport"
"65","jadhav	kd","sport"
"66","karthik","sport"
"67","kaul	virat","sport"
"68","kohli	kuldeep","sport"
"69","yadav","sport"
"70","kumar	m","sport"
"71","markande	mohammed","sport"
"72","shami","sport"
"73","mohammed","sport"
"74","siraj	hh","sport"
"75","pandya	kh","sport"
"76","pandya","sport"
"77","pant	ca","sport"
"78","pujara	am","sport"
"79","rahane","sport"
"80","rahul	at","sport"
"81","rayudu	v","sport"
"82","shankar","sport"
"83","sharma	rg","sport"
"84","sharma	shubman","sport"
"85","gill","sport"
"86","vihari	m","sport"
"87","vijay	ut","sport"
"88","yadav","sport"
"89","batsman","sport"
"90","bowler","sport"
"91","goalkeeper","sport"
"92","shots","sport"
"93","ball","sport"
"94","heads","sport"
"95","tails","sport"
"96","toss","sport"
"97","six","sport"
"98","four","sport"
"99","wide","sport"
"100","crease","sport"
"101","stumps","sport"
"102","wickets","sport"
"103","goals","sport"
"104","baskets","sport"
"105","crowd","sport"
"106","cheerleaders","sport"
"107","ipl","sport"
"108","bigbash","sport"
"109","aussies","sport"
"110","bleed","sport"
"111","blue","sport"
"112","olympics","sport"
"113","medals","sport"
"114","trophy","sport"
"115","award","sport"
"116","defenders","sport"
"117","arnab","sport"
"118","mondal","sport"
"119","narayan","sport"
"120","das","sport"
"121","both","sport"
"122","east","sport"
"123","bengal","sport"
"124","pritam","sport"
"125","kotal","sport"
"126","mohun","sport"
"127","bagan","sport"
"128","augustin","sport"
"129","fernandes","sport"
"130","salgaocar","sport"
"131","sandesh","sport"
"132","jhingan","sport"
"133","dsk","sport"
"134","shivajians","sport"
"135","rino","sport"
"136","anto","sport"
"137","keegan","sport"
"138","pereira","sport"
"139","both","sport"
"140","bengaluru","sport"
"141","chinglensana","sport"
"142","singh","sport"
"143","shillong","sport"
"144","lajong","sport"
"145","fulganco","sport"
"146","cardozo","sport"
"147","sporting","sport"
"148","clube","sport"
"149","goa","sport"
"150","midfielders","sport"
"151","lalrindika","sport"
"152","ralte","sport"
"153","harmanjot","sport"
"154","singh","sport"
"155","khabra","sport"
"156","mohammed","sport"
"157","rafique","sport"
"158","all","sport"
"159","east","sport"
"160","bengal","sport"
"161","pronay","sport"
"162","halder","sport"
"163","mohun","sport"
"164","bagan","sport"
"165","udanta","sport"
"166","singh","sport"
"167","ckvineeth","sport"
"168","eugeneson","sport"
"169","lyngdoh","sport"
"170","bengaluru","sport"
"171","francis","sport"
"172","fernandes","sport"
"173","delhi","sport"
"174","dynamos","sport"
"175","isaac","sport"
"176","chhakchhuak","sport"
"177","shillong","sport"
"178","lajong","sport"
"179","vinit","sport"
"180","rai","sport"
"181","holicharan","sport"
"182","singh","sport"
"183","both","sport"
"184","dempo","sport"
"185","seityasen","sport"
"186","singh","sport"
"187","salgaocar","sport"
"188","anthony","sport"
"189","dsouza","sport"
"190","dhanpal","sport"
"191","ganesh","sport"
"192","chenniyin","sport"
"193","david","sport"
"194","lalrinmuana","sport"
"195","aizawl","sport"
"196","forwards","sport"
"197","jeje","sport"
"198","lalpekhlua","sport"
"199","mohun","sport"
"200","bagan","sport"
"201","sunil","sport"
"202","chhetri","sport"
"203","bengaluru","sport"
"204","sumeet","sport"
"205","passi","sport"
"206","sporting","sport"
"207","clube","sport"
"208","goa","sport"
"209","alwyn","sport"
"210","george","sport"
"211","bengaluru","sport"
"212","jackichand","sport"
"213","singh","sport"
"214","salgaocar","sport"
"215","cristiano","sport"
"216","ronaldo","sport"
"217","lionel","sport"
"218","messi","sport"
"219","neymar","sport"
"220","gareth","sport"
"221","bale","sport"
